,Unnamed: 0,평점,날짜,제목,내용
88,88,5,21.04.02.,케이스 약간 크다싶기는 하지민 너무 이쁘구 고급스러워요퍼프는 약간 납작한 스타일이고 저는 밀착력이 진짜 좋다고 생각했네요 커버력보다 다크닝이랑 지속력에 더 비중을 두는 타입인데,케이스 약간 크다싶기는 하지민 너무 이쁘구 고급스러워요퍼프는 약간 납작한 스타일이고 저는 밀착력이 진짜 좋다고 생각했네요 커버력보다 다크닝이랑 지속력에 더 비중을 두는 타입인데 딱 쿠션만 발랐을때 지속력이 더 좋은 것 같아요 개인적으로 제가 갖고있는 파우더랑은 안맞는지 오히려 파우더바른거보다 안바른게 나은 듯해요 원래 호를 쓰는편이지만 봄이기도하고 화사하게 쓰고싶어서 호샀는데 너무 허옇지않고 잘어우러집니다 색이 너무 이쁘고 다크닝이 없어서 너무 좋았어요 손은 우측만 바른건데 세미매트질감과 약간의 커버확인하시면 될 것같아요 피부매끈해보여요
89,89,5,21.05.22.,라이브방송 알람해두고 주문했습니다처음에는 블랙쿠션만 구매하려 했는데 라이브방송 진행하시는 두분 내내 웃으시며 설명하고 소통하시는모습에 끌려 한시간 집중시청하고는 하나하나 추가구매,라이브방송 알람해두고 주문했습니다처음에는 블랙쿠션만 구매하려 했는데 라이브방송 진행하시는 두분 내내 웃으시며 설명하고 소통하시는모습에 끌려 한시간 집중시청하고는 하나하나 추가구매 했어요 원래 필요하긴 하던거라 예전 이십대때 한참 헤라매니아 였다가 돌아돌아 왔는데 역시 너무 좋습니다 주문해두고 개인적으로 일이생겨 부재중이던 집에 방금 귀가했더니 산처럼 쌓인박스에 아차 싶더라구요몇개 사지도 않았는데 사은품 너무나 많이 실용적인아이들로 보내주셔서 샘플 다 쓰면 본품으로 서서히 다시 갈아타게 될듯이요제품이야 말할것도 없고라이브 방송중 두명만 주신다던 ㅜㅜ 생각지도 못한 헤어고데기 ㅜㅜ 너무 놀랬습니다 기대도 못했는데 ㅜㅜ산것보다 받은게 몇배 되는것 같아요하나도 방치됨 없이 꼼꼼히 잘 쓰고나서기분좋게 재구매 하러 다시 올게요 택비 여러번 나올까봐 한번에 묶어 보내달라 요청드렸었는데 따로왔더라구요상담때도 라방때도 정말 친절하고 기분좋은 구매 하게 해주셔서 감사드리구너무 받은게 많아서 죄송한마음에 긴 리뷰 처음으로 해봅니다각 제품은 따로 사용후 한번 더 리뷰하러 올게요쿠션과 에어리프라이머는 열자마자 써봤는데 역시는 역시
90,90,4,21.04.28.,헤라 쿠션은 처음 써보는데 향이 너무 좋아요고급진 향이 나구 샘플도 잘 챙겨주셔서 감사합니다 이 쿠션 정말 바르고 나면 매트해서 여러번 겹겹이 발라야 하고 기초도 신경써야 할,헤라 쿠션은 처음 써보는데 향이 너무 좋아요고급진 향이 나구 샘플도 잘 챙겨주셔서 감사합니다 이 쿠션 정말 바르고 나면 매트해서 여러번 겹겹이 발라야 하고 기초도 신경써야 할 것 같아요 지성인 저한테도 매트한 편입니다 그리고 쿠션케이스가 잘 분리되네요 조심해야 할 것 같아요 시간 지나고 다크닝은 없어서 마음에 듭니다 마스크에도 다른 쿠션클리오롬앤투쿨 제가 써본 제품들에 비해 덜 묻어 나오지만 거의 안묻어나오는 수준은 아니니 참고하세요 클리오 란제리 컬러 썼었구요 이번 쿠션은 으로 선택했는데 으로 해도 됬었겠어요 그리고 커버력이 뛰어난 제품이 아니라서 컨실러는 필수 인 것 같네요
91,91,5,21.04.24.,수부지인데 여름에 제가 쓰기에 너무 좋았어요 겨울까지도 가능할 것 같은데 일단 진짜 묻어나지도 않고 파우더 처리까지 하면 피부 하나도 안 당기고 너무 좋아요 인생 쿠션입니다 이건,수부지인데 여름에 제가 쓰기에 너무 좋았어요 겨울까지도 가능할 것 같은데 일단 진짜 묻어나지도 않고 파우더 처리까지 하면 피부 하나도 안 당기고 너무 좋아요 인생 쿠션입니다 이건 물건이에요 커버력도 어느 정도 있고 대신 퍼프가 완전 물렁한 게 아니라 손 스킬을 써가며 얼굴에 두드려줘야 해요 코 옆이나 세심한 부분까지는 안 발릴 수가 있어서 근데 너무 좋은 걸 어떡합니까 한 달 정도 써보고 후기 남길 땐 또 바뀔지 모르겠지만 피부도 뽀얗게 잘 보정되고 좋아요 근데 제일 밝은 호수를 샀는데 막 그렇게 밝지는 않은 느낌이에요 예쁜 상아빛이라 저는 마음에 듭니다 색이 잘 뽑힌 것 같아요 올여름에는 이거인 것 같아요 지속력도 밀착력도 너무 좋았어요 전보다 가벼워진 느낌이 확실히 들어요 물건 하나 만들었네요 케이스는 지문 묻는 거 빼면 너무 깔끔하고 예뻐요
92,92,5,21.04.21.,일단 제 피부는 호  두껍게 화장하는걸 매우 싫어함 입니다기존의 블랙쿠션은 호라해도 저한테 좀 어두워서 칙칙하단 소릴 많이 들었어요 그리고 두껍게 발리는 것도 싫었,일단 제 피부는 호  두껍게 화장하는걸 매우 싫어함 입니다기존의 블랙쿠션은 호라해도 저한테 좀 어두워서 칙칙하단 소릴 많이 들었어요 그리고 두껍게 발리는 것도 싫었고요ㅠㅠ그래서 매트한제형이나 지속력 커버력 등은 맘에 들었지만 블쿠를 안쓰고투페이스드 파데 클라우드를 써왔어요딱 제 피부톤에 맞고 얇게 발리는게 좋았거든요그러나 커버력은 좀 안습이었죠ㅠ 그리고 쿠션이 없어서 수정화장을 포기해야 했어요제 피부톤에 맞는 파데는 있어도 쿠션은 찾기 힘들어서 짜증났었는데그러다가 이번에 새로 블쿠가 리뉴얼 됐단 소리를 듣고 얇게 발린다는 후기와 색상이 밝아졌다는 걸 믿어보기로 하며 사봤는데완전 만족합니다일단 정말 얇게 발려요 텁텁하게 발리는거 매우 싫은데 전보다 얇게 발리는게 눈에 확연히 보이고호 포슬린은 제 기준 클라우드보다 조오금 더 어둡긴 하지만 피부에 얹어놓으면 톤다운된것처럼 누래지지않고 딱 예쁘게 화사해져요커버력은 예전처럼 좋구요 그래서 그냥 클라우드 대신 블쿠 쓰려구요 드디어 정착할 쿠션이 생겨서 너무 기쁩니다이대로만 색상 변경없이 쭈욱 갔으면 좋겠어요ㅠㅠ
93,93,5,21.05.09.,평소에 건조한걸 너무 싫어해서 촉촉한 쿠션을 주로 사용합니다 요즘엔 설화수랑 입생로랑거 쓰다가 우연히 마스크에 묻지 않는다고 해서 한번 사봤어요 사실 헤라가 유명하지만 건조하다고,평소에 건조한걸 너무 싫어해서 촉촉한 쿠션을 주로 사용합니다 요즘엔 설화수랑 입생로랑거 쓰다가 우연히 마스크에 묻지 않는다고 해서 한번 사봤어요 사실 헤라가 유명하지만 건조하다고 생각했거든요제 피부는 잡티가 많지 않고 깨끗한 편이라 사용 전후가 사진으로는 잘 안나오네요 색도 제 피부랑 거의 유사하고 매트하긴 합니다 기초를 많이 촉촉하게 하고 써도 시간이 흐르면 건조함이 느껴지긴해요커버력도 있고 여름까지는 잘 사용할듯합니다
94,94,5,21.05.05.,기존에 잘 쓰고있던 지방시 땡 꾸띄르 쿠션 과 비교해서 리뷰남길게요우선 결론만 말하자면 두 제품 모두 비슷하고 좋은데결이 좀 더 좋아 보이는건 지방시빠르고 쉽게 바를 수,기존에 잘 쓰고있던 지방시 땡 꾸띄르 쿠션 과 비교해서 리뷰남길게요우선 결론만 말하자면 두 제품 모두 비슷하고 좋은데결이 좀 더 좋아 보이는건 지방시빠르고 쉽게 바를 수 있는건 헤라였어요 색상사진에서 왼지방시 오헤라 입니다저는 호 정도인데 피부보다 반톤이상 밝게 바르는 편입니다지방시  헤라  비슷하게 호 정도되는 것 같아요 색상 정말 비슷한데 지방시가 주황끼가 더 돌고 헤라가 상대적으로 노란끼가 있는 편이에요 근데 헤라만 놓고 봤을때는 많이 노란편은 아닙니다 발림성헤라가 지방시보다 빠르게 퍽퍽바르기 좋아요지방시는 픽싱이 빨라서 공들여서 발라야 했는데 헤라는 여러군데 찍어놓고 한방에 펴바를수 있습니다 커버력제형 자체가 너무 얇아서 상중하로 따지면 중 정도 되는 것 같아요 둘다 큰 흉터는 안 가려져요 몇겹 바르면 중상정도까지는 돼요 다만 지방시는 많이 쌓아도 얇게 올라가고 헤라는 많이올리면 상대적으로 좀 더 두껍게 올라가요 제형지방시가 바르기 전 제형은 훨씬 촉촉한데 픽싱이 너무 빨라요 헤라는 상대적으로 꾸덕해요얇은 정도는 한겹으로 따졌을때 지방시가 훨씬 얇아요 헤라뿐만이 아니라 다른 제품과 비교했을때도 지방시가 많이 얇은 편 같아요근데 사진만큼 차이나진 않아요 사진에는 헤라가 너무 도톰하게 올라갔는데 지방시 양이 거의 안남고 헤라는 산지 얼마 안돼서 그런거에요
95,95,4,21.04.21.,커버력이 좋습니다 운동하고 얼굴이 상기되어도 안보였어요 헌데 마스크를 착용하고 묻어나오는 정도는 다른 쿠션에 비해 덜하고 좋은데요 들뜸은 좀 있더라구요 제 피부상태가 안좋은,커버력이 좋습니다 운동하고 얼굴이 상기되어도 안보였어요 헌데 마스크를 착용하고 묻어나오는 정도는 다른 쿠션에 비해 덜하고 좋은데요 들뜸은 좀 있더라구요 제 피부상태가 안좋은 것도 있어서 그렇게 보이긴 하지만 하지만 다른 쿠션에 비해 밀착력 커버력 좋습니다 지속력은 들뜸땜에 점수를 낮추었습니다 재구매의사있습니다 전반적으로 만족합니다
96,96,5,21.04.07.,우선 제품에 대한 리뷰를 남겨야하는데 모두들 헤라 블랙쿠션 좋으신거 다 알잖아요 그래서 제품에 대한거는 생략할께요ㅎ 아니 여기 스토어 월요일날 주문했는데 수요일 오전에 도착하는,우선 제품에 대한 리뷰를 남겨야하는데 모두들 헤라 블랙쿠션 좋으신거 다 알잖아요 그래서 제품에 대한거는 생략할께요ㅎ 아니 여기 스토어 월요일날 주문했는데 수요일 오전에 도착하는 엄청난 빠름도 가지고 있구요 제가 블랙파데를 사용중이라서 블랙파데 견본을 프라이밍 견본이나 립 견본으로 바꿔주시면 감사하다고 말씀드렸는데 둘다 주시는거 있죠 또 밑에 사진에서 알 수 있듯이 다른 것들도 엄청 챙겨주셨더라구요ㅠㅠ 그래서 오늘 열어보면서 무척이나 신이났어요 택배는 열어볼때마다 설레는데 덕분에 설렘을 넘어 즐거움까지 받게 되었네요 사은품으로 주신 파우치도 예쁘구요 다음에 구매할때에도 여기서 구매할려구요 번창하세요
97,97,5,21.04.18.,더 저렴한 곳도 있었지만 미니쿠션때문에 여기서 주문했어요 여러분 여기서 사세요ㅎㅎ미니쿠션도 리뉴얼된 쿠션도 너무 마음에 드네요 늦은시간에 질문 남겼는데 대답도 빨리해주셨어요,더 저렴한 곳도 있었지만 미니쿠션때문에 여기서 주문했어요 여러분 여기서 사세요ㅎㅎ미니쿠션도 리뉴얼된 쿠션도 너무 마음에 드네요늦은시간에 질문 남겼는데 대답도 빨리해주셨어요 출고도 바로 해주셔서 빠르게 받았어요
